danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,names,cluster
0.704,0.634,-7.374,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,1I8tHoNBFTuoJAlh4hfVVE,271640,Firestone,1
0.671,0.153,-13.569,0.0404,0.912,5.53e-05,0.0771,0.658,85.6,4yDjzVhXig9tfO7Zv46FE8,211933,Over the Rainbow,2
0.72,0.706,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002,7DnAm9FOTWE3cUvso43HhI,187436,Sweet but Psycho,2
0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,7qEHsqek33rTcFNT9PFqLf,182161,Someone You Loved,2
0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,1rqqCSm0Qe4I9rUvWncaom,190947,High Hopes,2
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,3bidbhpOYeV4knp8AIu8Xn,258343,Can't Hold Us (feat. Ray Dalton),1
0.733,0.897,-3.652,0.0389,0.0391,0.0,0.117,0.649,96.006,0mlAOSILGRys2IbvyOT5VJ,173800,Échame La Culpa,2
0.758,0.686,-6.346,0.0792,0.0848,0.00133,0.142,0.444,130.008,0Oe49j06Bjrxs8PltuVeaW,230907,On The Floor - Radio Edit,2
0.782,0.393,-12.423,0.0343,0.389,0.00915,0.0954,0.598,116.977,5RfxjgQMne0dRNiORcLtMg,237858,Wolke 4,1
0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,6RUKPb4LETWmmr3iAEQktW,247160,Something Just Like This,1
0.75,0.736,-4.168,0.155,0.0202,0.0,0.265,0.355,130.011,7mitXLIMCflkhZiD34uEQI,262147,Party Rock Anthem,1
0.829,0.51,-9.334,0.0369,0.00821,0.00143,0.0829,0.45,119.994,1HFfMOxCAT4GAwaPfCdmUs,208133,Waves - Robin Schulz Radio Edit,2
0.79,0.593,-9.204,0.0776,0.0983,0.00202,0.065,0.72,119.958,2GYHyAoLWpkxLVa4oYTVko,206067,Alors on danse - Radio Edit,2
0.781,0.526,-6.985,0.293,0.0619,0.0,0.0457,0.662,94.992,1CmUZGtH29Kx36C1Hleqlz,235613,Thrift Shop (feat. Wanz),1
0.782,0.58,-6.548,0.0407,0.0114,2.28e-06,0.108,0.66,120.021,20I6sIOMTCkB6w7ryavxtO,193400,Call Me Maybe,2
0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,2YWjW3wwQIBLNhxWKBQd16,176561,Lean On (feat. MØ & DJ Snake),2
0.636,0.815,-5.098,0.0581,0.0185,0.0,0.163,0.636,123.063,5tf1VVWniHgryyumXyJM7w,219043,Sugar (feat. Francesco Yates),2
0.602,0.707,-4.097,0.302,0.393,0.0,0.165,0.554,75.087,5LLRo6dCGxg4PZmtSqNzrZ,200187,Human,2
0.862,0.515,-6.897,0.0368,0.545,0.000153,0.0899,0.696,129.044,6md4w95cnKaW64JyEQ3A0L,244893,Somebody That I Used To Know,1
0.853,0.599,-4.756,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,0n4bITAu0Y0nigrz3MFJMb,263827,Blurred Lines,1
0.584,0.889,-5.941,0.0343,0.0462,0.828,0.309,0.464,126.04,5UqCQaDshqbIk3pkhy4Pjg,199907,Levels - Radio Edit,2
0.665,0.662,-6.874,0.271,0.171,0.0,0.0831,0.381,149.976,0pQr5WsobmdZHnuObT0sc2,238213,Astronaut,1
0.468,0.627,-5.085,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,698ItKASDavgwZ3WjaWjtz,212107,Faded,2
0.675,0.868,-6.36,0.0392,0.00107,0.715,0.374,0.0376,128.007,0A9mHc7oYUoCECqByV8cQR,304229,Animals,1
0.479,0.545,-7.346,0.0688,0.365,0.0,0.0963,0.244,74.897,4bzBPrGYD3fQfAadLgIiwT,252733,Let Her Go,1
0.65,0.946,-5.326,0.0981,0.223,0.0,0.979,0.669,96.033,29vem0DsWK4224LQyxcmA5,170493,Ai Se Eu Te Pego,2
0.773,0.849,-8.345,0.0587,0.057,0.0103,0.397,0.913,119.981,00vk0sEfb6mr2ehwSw0Uhn,192227,Don't Be So Shy - Filatov & Karas Remix,2
0.885,0.508,-6.444,0.0518,0.244,0.0,0.114,0.846,102.071,0Wq6whEjKeAAUi4nEim1DA,191373,Nur noch kurz die Welt retten,2
0.772,0.685,-6.849,0.0696,0.019,8.96e-05,0.131,0.501,130.039,2iJuuzV8P9Yz0VSurttIV5,283400,Scream & Shout,1
0.727,0.937,-2.871,0.286,0.00417,0.0,0.091,0.749,132.067,03UrZgTINDqvnUMbbIMhql,219493,Gangnam Style (강남스타일),2
0.616,0.69,-5.749,0.0411,0.529,0.0,0.117,0.452,82.0,1ejlaQBxPJ0P27FXJGMi3W,201729,Ich will nur dass du weißt - Radio Edit,2
0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.43,50kpGaPAhYJ3sGmk6vplg0,233720,Love Yourself,1
0.799,0.586,-6.735,0.0377,0.162,2.03e-06,0.193,0.549,120.97,3s4U7OHV7gnj42VV72eSZ6,227833,Rather Be (feat. Jess Glynne),2
0.487,0.666,-6.898,0.058,0.0378,2.71e-06,0.101,0.67,169.997,2TSoLv5tMkqikfpM5irrqZ,237933,Still,1
0.548,0.723,-6.002,0.0375,0.0969,1.28e-05,0.337,0.499,125.088,4zLBcDtvYNVtF9fnG6lme3,179960,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,2
0.574,0.52,-8.012,0.0445,0.0103,0.0,0.133,0.454,132.878,69kCVBamC48sizKB1qNQWE,204360,Herz über Kopf,2
0.448,0.784,-3.686,0.0625,0.0999,0.000108,0.668,0.237,136.239,62yJjFtgkhUrXktIoSjgP2,186813,Radioactive,2
0.788,0.649,-9.363,0.0589,0.0507,1.94e-05,0.315,0.387,126.004,5NZlsLgfdg8HlP8RaXPIeP,209953,Unter meiner Haut - Radio Mix,2
0.608,0.896,-5.864,0.0356,0.00562,5.89e-05,0.172,0.504,128.031,0GBdCrn4tQ4sxiaXHV03MP,191582,Hello - Radio Edit,2
0.537,0.731,-6.017,0.036,0.00571,0.0022,0.103,0.298,137.954,2TABt0nj3WNPXbka7nzwIt,210347,Hollywood Hills,2
0.489,0.597,-6.633,0.0292,0.27,0.0,0.105,0.323,95.013,1bIVDJC6imJNGSExMwlxy3,253520,Love Me Like You Do,1
0.604,0.787,-3.674,0.103,0.0679,0.15,0.127,0.301,126.062,0TDLuuLlV54CkRRUOahJb4,245040,Titanium (feat. Sia),1
0.553,0.314,-9.624,0.0272,0.763,1.98e-06,0.111,0.224,112.067,6GyBgO7IGH7nBdhbogEYnT,268747,Auf anderen Wegen,1
0.592,0.8,-4.931,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,378iszndTZAR4dH8kwsLC6,224813,Cheap Thrills (feat. Sean Paul),2
0.775,0.76,-4.847,0.126,0.00573,0.0,0.341,0.766,124.977,5QIG1kl6klZIy0Lu67XNYJ,195192,Welcome to St. Tropez - DJ Antoine vs. Mad Mark Radio Edit,2
0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,194088,bad guy,2
0.413,0.42,-6.444,0.0416,0.588,6.39e-05,0.11,0.185,84.126,5Nm9ERjJZ5oyfXZTECKmRt,172724,Stay With Me,2
0.825,0.668,-6.329,0.0579,0.223,6.47e-05,0.167,0.534,118.989,5bGG1abhVIUm6EAa36ipRX,215187,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],2
0.376,0.695,-4.782,0.0933,0.135,0.0,0.11,0.302,169.533,5yVIlYEHZxQVLyInCdldoS,209440,Impossible,2
0.539,0.533,-7.897,0.347,0.0824,0.0,0.129,0.646,120.054,6oHDvarQSp0mf5AD1SyNH0,190187,Lieblingsmensch,2
0.285,0.462,-6.166,0.0291,0.428,5.61e-06,0.122,0.0923,142.365,4hrAKlxfblnG7llBEEX7TR,314720,Run,1
0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,3JvKfv6T31zO0ini8iNItO,244360,Another Love,1
0.366,0.532,-6.054,0.034,0.00718,3.79e-06,0.109,0.141,88.05,2xtnnO9bHKXEmsfetO3ldK,218546,Wie schön du bist,2
0.773,0.623,-6.173,0.0377,0.22,0.0,0.389,0.714,129.963,4ZPXuHp219ujq6QJ9oqteR,208280,Chöre,2
0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,2Foc5Q5nqNiosCNqttzHof,248413,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],1
0.336,0.627,-7.463,0.0384,0.164,0.0,0.0708,0.35,150.273,0bYg9bo50gSsH3LtXe2SQn,241107,All I Want for Christmas Is You,1
0.645,0.722,-4.574,0.0291,0.32,0.0,0.171,0.407,92.014,2ZoO0uLQRp2WhTlyIH8PJf,227520,Lieder,2
0.733,0.65,-3.539,0.0315,0.0703,6.59e-05,0.0829,0.348,110.003,0a9npeEQIad1Wr4H1RsLPU,209160,Habits (Stay High),2
0.87,0.706,-5.769,0.0417,0.56,0.0,0.104,0.953,122.98,7nuBU1HCcOwG5f1orN4ByW,225932,A Night Like This,2
0.646,0.741,-4.973,0.034,0.0275,0.0,0.312,0.571,123.077,6h5PAsRni4IRlxWr6uDPTP,203000,More Than You Know,2
0.737,0.636,-4.546,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,6kPJZM97LwdG9QIsT7khp6,222653,Solo (feat. Demi Lovato),2
0.581,0.963,-4.087,0.0981,0.0295,0.0,0.139,0.788,129.992,3cHyrEgdyYRjgJKSOiOtcS,204160,Timber,2
0.711,0.906,-2.671,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,12zpU2S4lMdrK9dvsOoL1m,157153,I Love It (feat. Charli XCX),0
0.666,0.83,-5.715,0.0751,0.0123,0.0,0.191,0.702,113.03,6JV2JOEocMgcZxYSZelKcc,236002,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1
0.842,0.488,-7.856,0.0844,0.218,0.00718,0.0877,0.647,126.019,2dQzfKRaMKUCQgMpOtpLTh,164955,Bella Ciao - HUGEL Remix,0
0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,4lLtanYk6tkMvooU0tWzG8,222091,Grenade,2
0.206,0.81,-6.492,0.0423,5.93e-05,0.0644,0.0855,0.155,163.552,2j7z87EnqB1NFQts2db0VR,268200,Don't Change,1
0.508,0.72,-5.908,0.0628,0.272,0.0,0.0563,0.472,79.983,2MfOcbtgz2yTsiznFmVZUN,261640,Halo,1
0.551,0.914,-4.063,0.0465,0.0263,1.35e-05,0.347,0.543,119.994,0v1XpBHnsbkCn7iJ9Ucr1l,224493,It's My Life,2
0.567,0.49,-10.867,0.0414,0.79,1.42e-05,0.0919,0.847,134.923,69RH84na5iUNwrwxpgjC5j,153333,Where Did Our Love Go,0
0.473,0.652,-10.171,0.0305,0.0132,1.13e-05,0.14,0.401,140.117,0wokCRaKD0zPNhMRXAgVsr,340200,Ordinary World,3
0.518,0.901,-3.749,0.093,0.174,0.0314,0.0712,0.873,115.026,7EsjkelQuoUlJXEw7SeVV4,254933,Black or White,1
0.465,0.814,-11.043,0.0351,0.238,0.00379,0.098,0.855,203.824,4I3nztDQ3cPajQtzg59tWx,226067,Don't Get Me Wrong,2
0.629,0.545,-13.123,0.0546,0.719,0.00308,0.0604,0.194,108.376,1PtQJZVZIdWIYdARpZRDFO,298933,Running Up That Hill (A Deal With God),1
0.421,0.873,-4.343,0.0564,0.0654,0.0,0.123,0.629,84.786,7wMq5n8mYSKlQIGECKUgTX,202533,Hall of Fame (feat. will.i.am),2
0.817,0.599,-9.249,0.0328,0.132,0.000311,0.0873,0.548,108.873,2KH16WveTQWT6KOG9Rg6e2,245640,Eye of the Tiger,1
0.599,0.732,-6.843,0.026,0.0145,0.000467,0.143,0.295,97.997,2Ms33RTRCT6gArrpcrPxmo,263867,Feel,1
0.32,0.917,-5.903,0.0771,0.0717,0.0,0.169,0.715,190.757,15tHagkk8z306XkyOHqiip,188360,"I'll Be There for You - Theme From ""Friends""",2
0.735,0.72,-7.04,0.336,0.00105,0.15,0.382,0.364,124.174,303ccTay2FiDTZ9fZ2AdBt,403293,Music Sounds Better With You,3
0.605,0.913,-4.345,0.0376,0.00159,0.0,0.0813,0.665,139.941,3Voz5vnFfMu8nrVP6hIYte,230960,This Is How a Heart Breaks,2
0.886,0.664,-11.795,0.0524,0.145,0.0483,0.0767,0.906,121.631,3K7Q9PHUWPTaknlbFPThn2,298867,Celebration,1
0.662,0.739,-5.354,0.0322,0.00206,0.0603,0.113,0.382,130.999,6JY1IdkZGeIcPegKxjSKeb,188960,Since U Been Gone,2
0.724,0.907,-4.78,0.0632,0.0187,4.97e-06,0.0824,0.962,139.016,4Qn1QhHhUT01LfpBnC7xnf,244827,Wild Wild West,1
0.581,0.717,-4.433,0.0318,0.0298,0.000185,0.243,0.316,107.884,7GAaTpSoTWUTbP2Yxlt4Hd,236440,Need You Now,1
0.711,0.924,-3.398,0.0282,0.0156,0.0,0.114,0.912,108.033,1qEHgdFqUxFebMPk8s2HLY,248640,I Don't Feel Like Dancin' - Radio Edit,1
0.727,0.83,-6.658,0.0376,0.023,0.00362,0.73,0.899,118.002,1jI1aLmm5HTwiMtvsbwDJw,240707,Who Do You Think You Are,1
0.581,0.498,-6.9,0.0276,0.198,0.0,0.132,0.111,116.262,63CHa6rmamv9OsehkRD8oz,206360,Against All Odds (Take a Look at Me Now) - 2016 Remaster,2
0.954,0.614,-11.48,0.106,0.0816,9.25e-05,0.086,0.839,117.548,4CYyheknaH5R2xfEndtixD,265667,Bust A Move,1
0.65,0.306,-9.443,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,3SdTKo2uVsxFblQjpScoHy,180056,Stand By Me,2
0.52,0.709,-7.125,0.0352,0.247,1.78e-05,0.18,0.536,76.039,6urCAbunOQI4bLhmGpX7iS,263560,Don't Speak,1
0.759,0.85,-7.156,0.0418,0.456,1.72e-06,0.488,0.963,149.211,4wswaG5vmNINMZcVBsAyBP,234653,Got My Mind Set On You - Remastered 2004,1
0.596,0.448,-9.616,0.0396,0.365,5.3e-06,0.206,0.796,83.293,1bp2IO61zbQrbWNmKKxg3f,264504,The Joker,1
0.68,0.625,-7.0,0.0353,0.0645,5.81e-05,0.109,0.814,94.02,3x4yV0hW5Ve3TKhFkXSqFn,266000,If You Had My Love,1
0.702,0.578,-13.415,0.031,0.382,5.89e-06,0.0425,0.975,111.617,5izGeTxueiFX1UPFGohY9w,363640,Addicted To Love,3
0.628,0.871,-6.44,0.0363,0.0077,1.64e-06,0.392,0.615,106.101,3XorCFmcupSm5QS6hA9g4N,232067,I Want You,2
0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064,2hKdd3qO7cWr2Jo0Bcs0MA,259933,Drops of Jupiter (Tell Me),1
0.533,0.783,-10.61,0.0366,0.0116,0.0565,0.186,0.726,124.874,07ABETRdek3ACMpRPvQuaT,234907,Always on My Mind,1
0.328,0.936,-3.254,0.0628,0.0665,2.61e-06,0.165,0.31,162.97,12dU3vAh6AFoJkisorfoUl,289560,Don't Look Back in Anger - Remastered,1
0.66,0.897,-5.558,0.0257,0.00316,2.25e-05,0.116,0.67,111.196,5LeDMHIZ5YDZ2b1VOcYVcG,219133,Hot In The City,2
0.456,0.573,-3.866,0.0275,0.578,3.05e-06,0.114,0.0992,76.19,3TCauNPqFiniaYHBvEVoHG,238560,Beautiful,1
0.848,0.838,-11.949,0.0721,0.0326,4.89e-06,0.124,0.787,97.736,1k28sDTLOz942qa3wEtMQE,271067,O.P.P,1
0.64,0.852,-8.119,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902,37Q5anxoGWYdRsyeXkkNoI,246520,Heaven Is A Place On Earth,1
0.71,0.963,-4.787,0.0277,0.00859,0.0133,0.218,0.968,129.965,37a8EdVw7VpAlRG4oASxIm,171747,Out of Touch - Radio Edit,2
0.628,0.66,-12.262,0.0437,0.00994,0.51,0.398,0.437,144.635,1UPJoPSCpOzYcRBq5nc586,367453,Underneath the Radar,3
0.562,0.709,-4.92,0.0424,0.00124,0.0,0.109,0.401,91.958,6O20JhBJPePEkBdrB5sqRx,225147,Diamonds,2
0.397,0.949,-4.741,0.12,0.0575,0.000388,0.215,0.589,129.368,2Ywft2Thbf7mPyoD2ntadi,237467,Suspicious Minds,1
0.72,0.808,-5.627,0.0379,0.00793,0.0293,0.0634,0.869,126.041,70HxNVlYQ0Hi6XqBtPLw80,307154,Lady - Hear Me Tonight,1
0.899,0.422,-11.238,0.0509,0.202,5.08e-06,0.0864,0.852,109.147,3lIpkjFnRxJ6Uvm8DgtgfV,276533,Sign Your Name,1
0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,3Fcfwhm8oRrBvBZ8KGhtea,242373,Viva La Vida,1
0.635,0.684,-11.687,0.0329,0.088,0.156,0.0755,0.892,120.269,05oFyvdztPdpwSwpoclD4c,268547,"If You Leave - From ""Pretty In Pink""",1
0.979,0.792,-2.784,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,3XVozq1aeqsJwpXrEZrDJ9,254467,Ice Ice Baby,1
0.869,0.648,-8.698,0.0633,0.121,2.17e-05,0.126,0.9,125.035,3koCCeSaVUyrRo3N2gHrd8,339320,Let's Groove,3
0.565,0.564,-10.044,0.0292,0.161,0.0,0.114,0.454,134.358,0jWgAnTrNZmOGmqgvHhZEm,295533,What's Up?,1
0.535,0.801,-11.734,0.0345,0.00103,0.00329,0.0676,0.672,155.571,3xzRBn3ywzobJrc1efC7Sb,251573,I Melt with You,1
0.832,0.553,-13.705,0.0487,0.0422,0.00356,0.249,0.89,119.825,6Lphpr9Z6H282Sguw0dUWa,215693,Le Freak,2
0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,1G391cbiT3v3Cywg8T7DM1,215907,Scar Tissue,2
0.697,0.611,-11.746,0.0258,0.18,2.04e-06,0.0876,0.808,129.96,2J9yZBKajggHsCmoSiaVCw,233493,Together In Electric Dreams,1
0.805,0.479,-14.734,0.0436,0.0627,0.000143,0.104,0.962,128.411,5rfJ2Bq2PEL8yBjZLzouEu,201293,Who Can It Be Now?,2
0.675,0.479,-9.87,0.0278,0.633,1.76e-05,0.088,0.454,81.998,5pbajJXEPdcoXQPXoAVR1t,209493,You're Beautiful,2
0.613,0.962,-5.36,0.0897,0.00228,0.00896,0.123,0.694,119.962,6XxFTFauoIwxcEjeped3Iz,232627,Suicide Blonde,2
0.497,0.349,-14.0,0.0297,0.0929,0.028,0.259,0.421,113.762,5gOd6zDC8vhlYjqbQdJVWP,365627,Baker Street,3
0.862,0.479,-9.199,0.0645,0.0523,0.00126,0.589,0.924,109.877,3QHONiXGMGU3z68mQInncF,301520,"I'll Be Missing You (feat. Faith Evans, 112)",1
0.542,0.905,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,0ntQJM78wzOLVeCUAW7Y45,203347,Sex on Fire,2
0.534,0.875,-5.637,0.0407,0.214,0.000184,0.0516,0.727,168.95,1dm00I58PW9kfpQ7su2opJ,356023,Wild Horses - Rerecorded,3
0.761,0.67,-12.759,0.0438,0.21,0.000426,0.0685,0.91,120.752,5jSz894ljfWE0IcHBSM39i,215173,Raspberry Beret,2
0.515,0.426,-9.267,0.0278,0.0482,0.737,0.121,0.195,129.3,0Wl42CUb1phIU9O2aR1wXI,198467,Disarm,2
0.786,0.803,-6.59,0.205,0.0294,0.0,0.224,0.949,173.029,1nXTM2CVdaoCySSD5kgt3J,229000,Sweat (A La La La La Long),2
0.749,0.614,-10.594,0.0264,0.0372,0.00286,0.0603,0.878,103.868,2nmaEzFZrSm2aMLtfJDzyG,208173,Werewolves of London,2
0.598,0.901,-6.081,0.0359,0.116,0.0401,0.178,0.814,153.24,4cMHCRLPNoEbpnl2rz6GS9,231120,Back on the Chain Gang - 2007 Remaster,2
0.529,0.843,-6.908,0.0616,0.0628,0.000827,0.0608,0.188,117.662,3MrRksHupTVEQ7YbA0FsZK,310333,The Final Countdown,1
0.423,0.681,-9.756,0.0398,0.0592,0.000177,0.0889,0.56,110.461,7AzFID6u1b3zIWbd9pb8Dk,160307,Summer in the City - Remastered,0
0.653,0.603,-6.017,0.0278,0.0292,0.0,0.097,0.101,118.016,6ucR4KfvsBFWCMVFDvyKKl,184400,Apologize,2
0.611,0.853,-4.983,0.034,0.0219,0.0,0.671,0.376,135.558,5ZY7Gug850kv4heJcWZGHM,243280,Just Like Paradise,1
0.349,0.348,-6.142,0.0316,0.726,0.0,0.12,0.0886,74.541,0HZhYMZOcUzZKSFwPOti6m,246587,jar of hearts,1
0.696,0.875,-3.682,0.0649,0.134,0.0,0.159,0.772,127.39,6zKMARmU2Ue50cucKnIUR6,222733,Forget You,2
0.52,0.652,-6.655,0.0274,0.339,6.14e-05,0.256,0.722,80.61,6kvoHl80mfCVTv7XnZkjQn,258787,"It Must Have Been Love - From the Film ""Pretty Woman""",1
0.496,0.739,-7.193,0.0416,0.0209,0.00451,0.106,0.377,132.411,4JiEyzf0Md7KEFFGWDDdCr,336000,Knockin' On Heaven's Door,3
0.445,0.949,-4.682,0.0471,0.395,8.18e-06,0.0902,0.653,147.604,3Dy4REq8O09IlgiwuHQ3sk,168960,Waterloo,0
0.526,0.328,-9.864,0.0461,0.694,0.0,0.112,0.11,116.068,0SuG9kyzGRpDqrCWtgD6Lq,526387,Give Me Love,3
0.556,0.913,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,10Nmj3JCNoMeBQ87uw5j8k,282160,Dani California,1
0.702,0.638,-11.171,0.0307,0.0752,7.3e-05,0.0783,0.789,122.218,69RRNcyev0eWJsPwssCFFK,253160,Thorn In My Side,1
0.661,0.818,-5.9,0.0291,0.182,0.000995,0.0527,0.79,147.544,1c9dnQbOzw01ID7X2IsYOE,266333,Slave To Love,1
0.873,0.855,-8.559,0.0615,0.179,0.0285,0.0377,0.884,107.868,3pbtBomO4Zt5gGiqsYeiBH,245600,Upside Down,1
0.561,0.94,-4.259,0.0481,0.0469,0.0,0.112,0.689,116.029,0rhB4opo50ApJy6I3Bxlsc,220391,Stronger (What Doesn't Kill You),2
